kernel,metric,value,unit
main_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,1314179,
main_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,258304,
main_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,345608,
main_kernel,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,0,sector
main_kernel,l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum,131060,sector
main_kernel,lts__t_sectors.sum,927777,sector
main_kernel,dram__sectors_read.sum,272016,sector
main_kernel,dram__sectors_write.sum,0,sector
main_kernel,smsp__inst_executed.sum,3417577,inst
main_kernel,launch__registers_per_thread,168,register/thread
main_kernel,launch__occupancy_limit_registers,1,block
